Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
10101,10/5/2022,4606,3.01999998092651,3.01999998092651,0,0.569999992847443,0.509999990463257,1.94000005722046,0,10,11,102,1317,1916,4,1504,273,78
10101,10/6/2022,2690,1.75,1.75,0,0,0,1.75,0,0,0,117,526,1880,4,1504,242,75
10101,10/7/2022,4143,2.72000002861023,2.72000002861023,0,0,0,2.71000003814697,0,0,0,260,1180,2286,2,1504,479,76
10101,10/8/2022,703,0.46000000834465,0.46000000834465,0,0,0,0.46000000834465,0,0,0,34,1406,1608,2,1504,71,
10101,10/9/2022,0,0,0,0,0,0,0,0,0,0,1,1439,1509,0,1504,4,
10101,10/10/2022,5998,3.92000007629395,3.92000007629395,0,0.070000000298023,0.28999999165535,3.53999996185303,0,6,13,305,1116,2440,4,1504,640,74
10101,10/11/2022,5479,3.60999989509583,3.60999989509583,0,0.100000001490116,0.079999998211861,3.4300000667572,0,10,13,298,1119,2463,6,1504,659,73
10101,10/12/2022,6264,4.13000011444092,4.13000011444092,0,0.28999999165535,0.569999992847443,3.25999999046326,0,23,52,291,884,2778,6,1504,929,72
10101,10/13/2022,4931,3.23000001907349,3.23000001907349,0,0.050000000745058,0.370000004768372,2.79999995231628,0,8,47,295,655,2610,2,1504,783,69
10101,10/14/2022,5730,3.74000000953674,3.74000000953674,0,0.239999994635582,0.889999985694885,2.59999990463257,0,10,59,281,1090,2700,3,1504,816,70
10101,10/15/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1504,0,1504,0,
10101,10/16/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1504,0,1504,0,
10101,10/17/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1504,0,1504,0,
10101,10/18/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1504,0,1504,0,
10101,10/19/2022,4416,2.88000011444092,2.88000011444092,0,0.129999995231628,0.52999997138977,2.21000003814697,0,13,43,351,1033,2891,3,1504,985,71
10101,10/20/2022,3166,2.07999992370606,2.07999992370606,0,0,0.28999999165535,1.77999997138977,0,0,23,216,1077,2328,4,1504,549,
10101,10/21/2022,5739,3.78999996185303,3.78999996185303,0,0.6700000166893,0.77999997138977,2.3199999332428,0,41,94,256,1049,3011,3,1504,1101,71
10101,10/22/2022,0,0,0,0,0,0,0,0,0,0,2,1438,1528,0,1504,23,
10101,10/23/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1504,0,1504,0,
10101,10/24/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1504,0,1504,0,
10101,10/25/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1504,0,1504,0,
10101,10/26/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1504,0,1504,0,
10101,10/27/2022,1949,1.28999996185303,1.28999996185303,0,0,0,1.27999997138977,0,0,0,116,690,1236,0,841,252,
10102,10/5/2022,10030,6.55999994277954,6.55999994277954,0,0,0.319999992847443,6.21999979019165,0,0,15,426,555,3190,3,1659,1032,64
10102,10/6/2022,9740,6.42999982833862,6.42999982833862,0,0.070000000298023,0.479999989271164,5.8600001335144,0,1,13,376,732,2973,2,1659,879,63
10102,10/7/2022,9575,6.32000017166138,6.32000017166138,0,0,0,6.30000019073486,0,0,0,445,509,3096,3,1659,955,65
10102,10/8/2022,2975,1.96000003814697,1.96000003814697,0,0,0,1.95000004768372,0,0,0,172,1268,2222,1,1659,328,65
10102,10/9/2022,8620,5.53999996185303,5.53999996185303,0,0.939999997615814,1.39999997615814,3.19000005722046,0,14,27,198,1129,2531,6,1659,608,65
10102,10/10/2022,5016,3.28999996185303,3.28999996185303,0,0.090000003576279,0.280000001192093,2.91000008583069,0,2,8,252,823,2407,2,1659,452,66
10102,10/11/2022,9134,6.03000020980835,6.03000020980835,0,0,0,6.01000022888184,0,0,0,361,669,2786,1,1659,752,66
10102,10/12/2022,9614,6.34999990463257,6.34999990463257,0,0,0,6.32999992370605,0,0,0,406,544,2940,1,1659,851,65
10102,10/13/2022,8980,5.92000007629395,5.92000007629395,0,0,0,5.90000009536743,0,0,0,356,1084,2799,0,1659,772,65
10102,10/14/2022,9795,6.40999984741211,6.40999984741211,0,0.180000007152557,0.620000004768372,5.57999992370605,0,3,26,419,992,3326,1,1659,1182,66
10102,10/15/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,10/16/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1660,0,1659,0,
10102,10/17/2022,4681,3.04999995231628,3.04999995231628,0,0.230000004172325,0.769999980926514,2.03999996185303,0,4,33,172,1231,2402,0,1659,506,67
10102,10/18/2022,10182,6.65999984741211,6.65999984741211,0,0,0.319999992847443,6.32999992370605,0,0,13,396,797,2953,3,1659,882,67
10102,10/19/2022,10409,6.8600001335144,6.8600001335144,0,0.070000000298023,0.72000002861023,6.05999994277954,0,2,28,395,1015,3061,2,1659,979,68
10102,10/20/2022,9655,6.32000017166138,6.32000017166138,0,0.129999995231628,0.310000002384186,5.86999988555908,0,2,9,310,1119,2732,2,1659,759,69
10102,10/21/2022,8991,5.92999982833862,5.92999982833862,0,0,0.259999990463257,5.65999984741211,0,0,8,389,1043,2886,3,1659,797,70
10102,10/22/2022,4351,2.85999989509583,2.85999989509583,0,0,0,2.85999989509583,0,0,0,154,1286,2101,5,1659,287,70
10102,10/23/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1660,0,1659,0,
10102,10/24/2022,7082,4.67000007629395,4.67000007629395,0,0,0,4.65999984741211,0,0,0,305,1135,2660,3,1659,671,71
10102,10/25/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,10/26/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,10/27/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,10/28/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,10/29/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,10/30/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,10/31/2022,13127,8.59000015258789,8.59000015258789,0,0,1.57000005245209,7,0,0,32,404,1004,3173,2,1659,1083,73
10102,11/1/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/2/2022,8362,5.51999998092651,5.51999998092651,0,0.059999998658895,0.150000005960464,5.30000019073486,0,1,5,379,1038,2959,1,1659,869,75
10102,11/3/2022,0,0,0,0,0,0,0,0,0,0,0,1241,1660,0,1659,0,
10102,11/4/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/5/2022,6,0,0,0,0,0,0,0,0,0,1,1439,1661,0,1659,1,
10102,11/6/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1728,0,1659,0,
10102,11/7/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/8/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/9/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1660,0,1659,0,
10102,11/10/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1660,0,1659,0,
10102,11/11/2022,0,0,0,0,0,0,0,0,0,0,3,1318,1687,0,1659,25,
10102,11/12/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/13/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/14/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/15/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/16/2022,10139,6.69000005722046,6.69000005722046,0,0.980000019073486,2.02999997138977,3.67000007629395,0,18,66,253,1103,2958,2,1659,929,77
10102,11/17/2022,8235,5.44000005722046,5.44000005722046,0,0.360000014305115,0.300000011920929,4.76999998092651,0,5,7,298,1130,2728,2,1659,710,79
10102,11/18/2022,8293,5.46999979019165,5.46999979019165,0,0,0,5.46000003814697,0,0,0,365,1075,2683,1,1659,665,78
10102,11/19/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/20/2022,0,0,0,0,0,0,0,0,0,0,1,1439,1667,0,1659,4,
10102,11/21/2022,8833,5.82999992370605,5.82999992370605,0,0,0,5.82000017166138,0,0,0,336,1104,2656,0,1659,657,79
10102,11/22/2022,9967,6.57999992370605,6.57999992370605,0,0,0,6.55999994277954,0,0,0,358,1082,2684,2,1659,682,
10102,11/23/2022,8820,5.82000017166138,5.82000017166138,0,0,0,5.80999994277954,0,0,0,314,1126,2515,1,1659,581,78
10102,11/24/2022,1082,0.709999978542328,0.709999978542328,0,0,0,0.709999978542328,0,0,0,70,1370,1832,1,1659,98,78
10102,11/25/2022,2531,1.66999995708466,1.66999995708466,0,0,0,1.66999995708466,0,0,0,128,1312,1966,3,1659,182,77
10102,11/26/2022,0,0,0,0,0,0,0,0,0,0,0,1193,1661,0,1659,0,
10102,11/27/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,11/28/2022,9295,6.13000011444092,6.13000011444092,0,0,0.219999998807907,5.90000009536743,0,0,5,319,1116,2607,2,1659,643,77
10102,11/29/2022,7262,4.78999996185303,4.78999996185303,0,0,0,4.78000020980835,0,0,0,309,1131,2493,4,1659,539,76
10102,11/30/2022,8158,5.36999988555908,5.36999988555908,0,0,0,5.3600001335144,0,0,0,290,1150,2454,1,1659,539,76
10102,12/1/2022,1794,1.17999994754791,1.17999994754791,0,0,0,1.17999994754791,0,0,0,76,1364,1865,0,1659,136,
10102,12/2/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,12/3/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,12/4/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,12/5/2022,0,0,0,0,0,0,0,0,0,0,0,1440,1659,0,1659,0,
10102,12/6/2022,6921,4.57000017166138,4.57000017166138,0,0,0,4.55999994277954,0,0,0,305,1135,2505,2,1659,549,77
10102,12/7/2022,7175,4.65999984741211,4.65999984741211,0,0,0,4.6399998664856,0,0,0,280,1160,2442,1,1659,509,77
10102,12/8/2022,10592,6.96000003814697,6.96000003814697,0,0.059999998658895,0.25,6.63000011444092,0,1,7,397,1035,2988,3,1659,899,77
10102,12/9/2022,8574,5.6399998664856,5.6399998664856,0,0,0,5.61999988555908,0,0,0,309,750,2163,2,1220,633,77
10103,10/5/2022,10657,7.80999994277954,7.80999994277954,2.33071994781494,3.20000004768372,0.209999993443489,4.38000011444092,0,43,22,291,635,1876,5,1093,511,62
10103,10/6/2022,5821,3.66000008583069,3.66000008583069,0,0,0,3.65000009536743,0,0,0,264,687,1527,4,1093,222,62
