Id,Date,TotalActiveZoneMinutes,FatBurnActiveZoneMinutes,CardioActiveZoneMinutes,PeakActiveZoneMinutes
10103,12/05/2022,43,37,6,0
10103,12/06/2022,23,19,4,0
10103,12/07/2022,21,21,0,0
10103,12/08/2022,6,4,2,0
10103,12/09/2022,8,8,0,0
10103,12/10/2022,15,15,0,0
10103,12/11/2022,233,199,34,0
10103,12/12/2022,31,19,12,0
10103,12/13/2022,92,66,24,2
10103,12/14/2022,10,8,2,0
10103,12/15/2022,25,17,8,0
10103,12/16/2022,38,38,0,0
10103,12/17/2022,13,9,4,0
10103,12/18/2022,55,47,8,0
10103,12/20/2022,9,5,4,0
10301,12/05/2022,2,2,0,0
10301,12/07/2022,2,2,0,0
10301,12/12/2022,9,3,6,0
10301,12/20/2022,4,2,2,0
10301,12/22/2022,4,0,2,2
10304,12/05/2022,378,316,62,0
10304,12/06/2022,87,75,12,0
10304,12/07/2022,78,74,4,0
10304,12/08/2022,178,120,56,2
10304,12/09/2022,124,122,2,0
10304,12/10/2022,159,95,56,8
10304,12/11/2022,33,31,2,0
10304,12/12/2022,28,28,0,0
10304,12/13/2022,269,207,62,0
10304,12/14/2022,342,280,62,0
10304,12/15/2022,93,91,0,2
10304,12/16/2022,575,175,346,54
10304,12/17/2022,32,30,2,0
10304,12/18/2022,81,75,6,0
10304,12/19/2022,138,108,30,0
10304,12/20/2022,148,112,36,0
10304,12/21/2022,152,100,52,0
10304,12/23/2022,183,117,64,2
10304,12/24/2022,129,103,26,0
10304,12/25/2022,243,219,24,0
10304,12/26/2022,184,152,32,0
10304,12/27/2022,116,102,14,0
10304,12/28/2022,67,61,6,0
10304,12/29/2022,36,36,0,0
10304,12/30/2022,114,106,8,0
10304,12/31/2022,121,107,14,0
10307,12/05/2022,8,8,0,0
10307,12/06/2022,6,6,0,0
10307,12/07/2022,18,18,0,0
10307,12/08/2022,226,204,22,0
10307,12/09/2022,23,23,0,0
10307,12/10/2022,136,88,48,0
10307,12/11/2022,87,85,2,0
10307,12/12/2022,395,303,88,4
10307,12/13/2022,94,92,2,0
10307,12/14/2022,22,22,0,0
10307,12/15/2022,17,15,2,0
10307,12/17/2022,27,23,4,0
10307,12/18/2022,5,5,0,0
10307,12/19/2022,66,52,14,0
10307,12/20/2022,9,9,0,0
10307,12/30/2022,22,22,0,0
10307,12/31/2022,8,8,0,0
10406,12/05/2022,167,23,130,14
10406,12/06/2022,153,17,136,0
10406,12/07/2022,62,10,52,0
10406,12/08/2022,1,1,0,0
10406,12/09/2022,9,9,0,0
10406,12/10/2022,297,41,240,16
10406,12/11/2022,1,1,0,0
10406,12/12/2022,118,18,100,0
10406,12/13/2022,1,1,0,0
10406,12/14/2022,93,25,68,0
10406,12/15/2022,147,27,118,2
10406,12/16/2022,87,19,68,0
10406,12/18/2022,264,24,146,94
10406,12/19/2022,135,9,126,0
10406,12/20/2022,112,20,92,0
10406,12/21/2022,6,6,0,0
10406,12/22/2022,151,35,116,0
10406,12/23/2022,2,2,0,0
10406,12/24/2022,331,91,184,56
10406,12/25/2022,142,44,98,0
10406,12/26/2022,1,1,0,0
10406,12/27/2022,136,20,94,22
10406,12/28/2022,76,10,66,0
10406,12/29/2022,351,145,206,0
