Id,SleepDay,DailyRMSSD,DeepRMSSD
10101,10/06/2022,56.716,61.254
10102,10/06/2022,59.091,54.066
10102,10/07/2022,52.8,50.976
10102,10/11/2022,56,40.105
10102,10/12/2022,67.044,47.618
10102,10/18/2022,56.04,61.428
10103,10/07/2022,62.769,59.575
10103,10/08/2022,22.968,25.85
10103,10/09/2022,53.745,30.477
10103,10/10/2022,63.174,50.274
10103,10/11/2022,58.883,43.621
10103,10/12/2022,40.7,28.153
10103,10/13/2022,60.201,42.188
10103,10/14/2022,62.991,48.143
10103,10/15/2022,29.642,37.361
10103,10/16/2022,60.804,48.693
10103,10/17/2022,68.707,64.184
10103,10/18/2022,59.98,53.638
10103,10/19/2022,70.421,76.499
10103,10/20/2022,31.972,29.472
10103,10/21/2022,67.478,70.187
10103,10/22/2022,43.895,30.163
10103,10/23/2022,40.569,30.47
10103,10/24/2022,22.732,18.443
10103,10/25/2022,64.91,55.868
10103,10/26/2022,68.663,72.736
10103,10/27/2022,64.682,63.821
10103,10/28/2022,59.446,48.061
10103,10/29/2022,47.044,38.993
10103,10/30/2022,39.951,36.382
10103,10/31/2022,44.077,31.89
10103,11/01/2022,47.283,40.164
10103,11/02/2022,48.846,53.528
10103,11/03/2022,24.738,20.287
10103,11/04/2022,44.934,31.839
10103,11/05/2022,66.315,61.749
10103,11/06/2022,14.538,14.845
10103,11/08/2022,56.073,44.015
10103,11/09/2022,19.498,21.213
10103,11/10/2022,36.797,34.504
10103,11/11/2022,66.167,81.963
10103,11/12/2022,51.767,40.693
10103,11/13/2022,39.058,35.749
10103,11/14/2022,32.491,32.451
10103,11/15/2022,31.668,23.465
10103,11/16/2022,54.972,57.295
10103,11/17/2022,60.605,74.174
10103,11/18/2022,19.74,20.189
10103,11/19/2022,20.402,17.203
10103,11/20/2022,36.238,31.421
10103,11/21/2022,58.171,39.345
10103,11/22/2022,30.161,23.752
10103,11/23/2022,39.746,29.495
10103,11/24/2022,47.951,33.02
10103,11/25/2022,38.975,19.657
10103,11/26/2022,26.208,17.131
10103,11/27/2022,32.537,28.651
10103,11/28/2022,23.15,23.906
10103,11/29/2022,41.912,35.727
10103,11/30/2022,40.052,37.565
10103,12/01/2022,60.183,42.593
10103,12/02/2022,45.654,65.422
10103,12/03/2022,39.771,44.667
10103,12/04/2022,48.318,39.609
10103,12/05/2022,48.617,45.371
10103,12/06/2022,41.706,41.04
10103,12/07/2022,44.895,185.613
10103,12/08/2022,27.632,22.596
10103,12/09/2022,45.644,37.492
10103,12/10/2022,48.929,65.261
10103,12/11/2022,35.14,40.516
10103,12/13/2022,41.14,31.898
10103,12/14/2022,55.694,45.504
10103,12/15/2022,55.975,51.068
10103,12/16/2022,45.477,45.078
10103,12/17/2022,33.803,26.879
10103,12/18/2022,31.618,24.87
10103,12/19/2022,47.987,35.612
10103,12/20/2022,18.602,18.78
10103,12/21/2022,52.129,53.059
10109,10/18/2022,40.898,35.766
10109,10/19/2022,45.511,34.17
10109,10/26/2022,43.883,0
10109,11/02/2022,27.466,18.874
10109,11/03/2022,36.959,22.734
10109,11/04/2022,32.099,27.38
10204,10/05/2022,25.586,31.199
10204,10/06/2022,31.233,37.753
10204,10/07/2022,32.425,33.664
10204,10/08/2022,24.455,24.422
10204,10/09/2022,20.917,19.432
10204,10/10/2022,24.578,28.47
10204,10/11/2022,28.961,30.026
10204,10/12/2022,14.353,14.921
10204,10/13/2022,21.065,21.862
10204,10/14/2022,25.08,28.614
10204,10/15/2022,21.547,20.845
10204,10/16/2022,18.336,16.485
10204,10/17/2022,24.735,24.2
10204,10/18/2022,26.687,25.417
10204,10/19/2022,28.497,32.331
10204,10/20/2022,29.666,21.485
10204,10/21/2022,23.857,25.773
10204,10/22/2022,28.797,26.016
10204,10/24/2022,21.497,21.346
10204,10/25/2022,26.9,22.075
10204,10/26/2022,29.097,27.302
10204,10/27/2022,26.768,69.784
10204,10/28/2022,25.67,23.641
10204,10/29/2022,32.097,35.042
10204,10/30/2022,23.986,27.203
10204,10/31/2022,30.878,25.921
10204,11/01/2022,36.553,28.739
10204,11/02/2022,31.616,21.797
10204,11/03/2022,26.184,31.298
10204,11/04/2022,24.113,27.023
10204,11/05/2022,18.711,15.738
10204,11/06/2022,19.715,20.047
10204,11/07/2022,22.017,22.878
10204,11/08/2022,25.98,0
10204,11/09/2022,17.18,19.286
10204,11/10/2022,23.512,24.649
10204,11/11/2022,24.554,21.566
10204,11/12/2022,18.335,20.66
10204,11/13/2022,17.225,13.671
10204,11/14/2022,23.088,26.767
10204,11/15/2022,27.144,28.449
10204,11/16/2022,27.379,28.324
10204,11/17/2022,24.525,43.01
10204,11/19/2022,14.519,20.057
10204,11/20/2022,27.054,28.282
10204,11/21/2022,29.375,26.971
10204,11/22/2022,27.936,69.865
10204,11/23/2022,23.054,24.11
10204,11/27/2022,23.81,28.64
10204,11/28/2022,28.688,25.003
10204,11/29/2022,30.229,23.437
10204,11/30/2022,23.038,25.832
10204,12/01/2022,36.455,27.288
10204,12/02/2022,33.234,34.933
10204,12/03/2022,32.52,37.328
10204,12/04/2022,25.476,28.683
10204,12/05/2022,35.082,26.231
10204,12/06/2022,32.802,31.248
10204,12/07/2022,31.446,24.15
10204,12/08/2022,35.402,35.211
10204,12/12/2022,36.188,36.204
10204,12/13/2022,36.042,33.582
10304,10/28/2022,17.612,17.469
10304,10/29/2022,15.539,37.265
10304,10/30/2022,12.356,13.586
10304,10/31/2022,10.418,11.402
10304,11/01/2022,13.452,11.167
10304,11/02/2022,17.956,14.038
10304,11/03/2022,17.052,15.818
10304,11/04/2022,17.922,14.577
10304,11/05/2022,13.21,26.766
10304,11/06/2022,13.17,13.499
10304,11/07/2022,10.601,12.438
10304,11/08/2022,12.518,33.419
10304,11/09/2022,7.407,6.507
10304,11/10/2022,7.483,7.984
10304,11/11/2022,7.137,7.071
10304,11/12/2022,7.851,7.932
10304,11/13/2022,8.875,8.088
10304,11/14/2022,7.713,7.851
10304,11/15/2022,7.516,7.438
10304,11/16/2022,7.526,7.806
10304,11/17/2022,8.998,7.959
10304,11/19/2022,13.076,17.323
10304,11/20/2022,9.69,13.233
10304,11/21/2022,10.261,9.022
10304,11/23/2022,11.261,10.897
10304,11/24/2022,11.811,10.639
10304,11/25/2022,8.448,9.393
10304,11/26/2022,12.846,11.646
10304,11/28/2022,9.436,10.543
10304,11/29/2022,11.765,8.951
10304,11/30/2022,12.08,11.204
10304,12/02/2022,14.875,14.369
10304,12/03/2022,35.307,12.142
10304,12/04/2022,15.697,26.956
10304,12/07/2022,23.358,16.481
10304,12/08/2022,16.314,23.672
10304,12/10/2022,17.317,18.797
10304,12/11/2022,13.953,13.781
10304,12/12/2022,20.954,15.492
10304,12/13/2022,21.431,15.418
10304,12/15/2022,19.542,26.489
10304,12/16/2022,15.528,14.259
10304,12/17/2022,18.152,14.889
10304,12/19/2022,14.284,15.493
10304,12/20/2022,19.471,20.471
10304,12/21/2022,13.376,15.141
10304,12/22/2022,14.496,16.72
10304,12/23/2022,17.917,15.893
10304,12/24/2022,13.066,12.915
10304,12/25/2022,18.005,31.57
10304,12/26/2022,16.51,15.719
10304,12/27/2022,14.341,21.032
10304,12/28/2022,15.168,18.697
10304,12/29/2022,20.356,22.567
10304,12/30/2022,15.815,14.336
10304,12/31/2022,19.391,35.44
10305,10/22/2022,26.068,16.944
10305,11/03/2022,26.985,28.696
10305,11/04/2022,31.34,19.968
10305,11/05/2022,33.022,20.45
10305,11/06/2022,31.663,28.26
10305,11/07/2022,34.394,22.013
10305,11/08/2022,35.678,32.553
10305,11/11/2022,39.554,38.182
10305,11/12/2022,32.846,25.312
10305,11/13/2022,27.908,25.071
10305,11/14/2022,29.899,30.678
10305,11/15/2022,36.682,39.65
10305,11/16/2022,35.281,27.426
10305,11/17/2022,42.261,40.672
10305,11/18/2022,41.051,40.232
10305,11/19/2022,32.408,31.474
10305,11/20/2022,24.538,18.834
10305,11/21/2022,40.133,29.781
10305,11/22/2022,26.356,22.911
10305,11/23/2022,23.228,23.981
10305,11/24/2022,27.213,26.257
10305,11/25/2022,42.231,38.79
10305,11/26/2022,30.273,20.021
10305,11/27/2022,33.158,25.721
10305,11/28/2022,27.02,24.249
10305,11/29/2022,31.329,23.158
10305,11/30/2022,30.974,26.714
10305,12/01/2022,31.544,25.469
10305,12/02/2022,33.837,29.066
10305,12/03/2022,24.449,22.172
