Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
10101,10/6/22,2,487,796
10101,10/13/22,1,424,625
10101,10/20/22,1,27,124
10102,10/5/22,2,492,545
10102,10/6/22,1,283,318
10102,10/7/22,1,449,486
10102,10/10/22,1,395,427
10102,10/11/22,1,366,410
10102,10/12/22,1,461,490
10102,10/18/22,1,220,234
10102,11/2/22,1,0,10
10102,11/3/22,1,197,206
10102,11/11/22,1,119,119
10102,11/26/22,1,247,247
10103,10/5/22,1,439,449
10103,10/6/22,1,476,489
10103,10/7/22,1,488,508
10103,10/8/22,1,465,489
10103,10/9/22,1,521,545
10103,10/10/22,1,467,480
10103,10/11/22,1,510,527
10103,10/12/22,1,467,487
10103,10/13/22,1,518,542
10103,10/14/22,1,520,534
10103,10/15/22,1,591,622
10103,10/16/22,1,601,623
10103,10/17/22,1,485,498
10103,10/18/22,1,498,513
10103,10/19/22,1,509,527
10103,10/20/22,1,475,499
10103,10/21/22,1,456,467
10103,10/22/22,1,494,532
10103,10/23/22,1,476,489
10103,10/24/22,1,478,500
10103,10/25/22,1,467,494
10103,10/26/22,1,453,471
10103,10/27/22,1,500,521
10103,10/28/22,1,513,536
10103,10/29/22,1,419,430
10103,10/30/22,1,484,504
10103,10/31/22,1,486,516
10103,11/1/22,1,396,412
10103,11/2/22,1,433,450
10103,11/3/22,1,477,497
10103,11/4/22,1,454,467
10103,11/5/22,1,552,577
10103,11/6/22,2,369,420
10103,11/7/22,1,80,84
10103,11/8/22,1,316,320
10103,11/9/22,1,438,456
10103,11/10/22,1,484,500
10103,11/11/22,1,453,476
10103,11/12/22,1,528,544
10103,11/13/22,1,518,532
10103,11/14/22,1,434,457
10103,11/15/22,1,431,457
10103,11/16/22,1,422,441
10103,11/17/22,1,481,515
10103,11/18/22,1,525,559
10103,11/19/22,1,508,523
10103,11/20/22,1,455,477
10103,11/21/22,1,554,556
10103,11/22/22,1,434,454
10103,11/23/22,1,523,545
10103,11/24/22,1,525,556
10103,11/25/22,1,556,601
10103,11/26/22,1,519,551
10103,11/27/22,1,482,496
10103,11/28/22,1,442,459
10103,11/29/22,1,478,501
10103,11/30/22,1,407,418
10103,12/1/22,1,508,517
10103,12/2/22,1,414,423
10103,12/3/22,1,484,500
10103,12/4/22,1,504,521
10103,12/5/22,2,500,505
10103,12/6/22,1,460,477
10103,12/7/22,1,436,452
10103,12/8/22,1,498,521
10103,12/9/22,1,507,518
10103,12/10/22,1,531,548
10103,12/11/22,1,558,583
10103,12/12/22,2,282,307
10103,12/13/22,1,462,484
10103,12/14/22,1,457,472
10103,12/15/22,1,463,481
10103,12/16/22,1,413,425
10103,12/17/22,1,509,526
10103,12/18/22,1,451,467
10103,12/19/22,1,505,527
10103,12/20/22,1,453,483
10103,12/21/22,1,499,519
10104,10/5/22,1,344,366
10104,10/6/22,1,321,366
10104,10/7/22,1,322,344
10104,10/9/22,1,508,573
10106,10/5/22,1,407,415
10106,10/6/22,1,590,604
10106,10/12/22,1,382,391
10106,10/13/22,1,452,520
10106,10/14/22,2,408,425
10106,10/15/22,1,487,491
10106,10/16/22,1,347,357
10106,10/17/22,1,443,465
10107,10/7/22,1,69,74
10107,10/8/22,1,528,537
10107,10/10/22,1,156,162
10107,10/11/22,1,364,372
10107,10/12/22,1,452,469
10107,10/14/22,1,337,361
10107,10/26/22,1,407,440
10107,10/27/22,1,420,474
10107,10/28/22,1,328,343
10107,11/1/22,2,681,705
10107,11/9/22,1,81,82
10107,11/11/22,1,597,639
10107,11/14/22,2,480,496
10107,11/23/22,1,126,132
10107,12/2/22,1,148,148
10108,10/5/22,1,403,445
10108,10/6/22,1,264,287
10108,10/7/22,3,655,712
10108,10/8/22,1,101,101
10108,10/14/22,2,481,517
10108,10/15/22,1,529,575
10108,10/30/22,1,502,546
10108,11/21/22,1,117,122
10108,11/22/22,1,382,407
10109,10/5/22,1,435,475
10109,10/6/22,1,391,417
10109,10/7/22,1,98,113
10109,10/8/22,1,615,626
10109,10/9/22,1,556,575
10109,10/10/22,1,328,360
10109,10/11/22,1,437,471
10109,10/12/22,1,338,353
10109,10/13/22,1,345,381
10109,10/17/22,1,390,390
10109,10/18/22,1,435,490
10109,10/19/22,1,404,425
10109,10/22/22,1,640,640
10109,10/23/22,1,494,494
10109,10/24/22,1,355,355
10109,10/25/22,1,428,428
10109,10/26/22,1,356,372
10109,10/28/22,1,507,507
10109,10/29/22,1,600,600
10109,10/30/22,1,380,380
10109,11/1/22,2,619,619
