Id,ActivityDay,Calories
21101,2/28/2023,1923
21101,3/1/2023,2235
21101,3/2/2023,2240
21101,3/3/2023,2580
21101,3/4/2023,2692
21101,3/5/2023,2505
21101,3/6/2023,2109
21101,3/7/2023,2068
21101,3/8/2023,2468
21101,3/9/2023,3626
21101,3/10/2023,3112
21101,3/11/2023,2270
21101,3/12/2023,2863
21101,3/13/2023,2196
21101,3/14/2023,2696
21101,3/15/2023,2520
21101,3/16/2023,2853
21101,3/17/2023,2251
21101,3/18/2023,2407
21101,3/19/2023,2043
21101,3/20/2023,2240
21101,3/21/2023,2466
21101,3/22/2023,1192
21102,2/28/2023,1608
21102,3/1/2023,2182
21102,3/2/2023,2689
21102,3/3/2023,2698
21102,3/4/2023,1360
21102,3/5/2023,1363
21102,3/6/2023,1359
21102,3/7/2023,2286
21102,3/8/2023,2335
21102,3/9/2023,1359
21102,3/10/2023,1383
21102,3/11/2023,483
21103,2/28/2023,1793
21103,3/1/2023,1818
21103,3/2/2023,1983
21103,3/3/2023,2020
21103,3/4/2023,2256
21103,3/5/2023,1931
21103,3/6/2023,2163
21103,3/7/2023,1956
21103,3/8/2023,2494
21103,3/9/2023,2150
21103,3/10/2023,2175
21103,3/11/2023,3068
21103,3/12/2023,1869
21103,3/13/2023,2346
21103,3/14/2023,2042
21103,3/15/2023,2099
21103,3/16/2023,2076
21103,3/17/2023,1955
21103,3/18/2023,1975
21103,3/19/2023,1378
21103,3/20/2023,2273
21103,3/21/2023,2163
21103,3/22/2023,1027
21104,2/28/2023,1370
21104,3/1/2023,1974
21104,3/2/2023,1969
21104,3/3/2023,2035
21104,3/4/2023,1896
21104,3/5/2023,2218
21104,3/6/2023,2169
21104,3/7/2023,1972
21104,3/8/2023,2031
21104,3/9/2023,1818
21104,3/10/2023,1532
21104,3/11/2023,2038
21104,3/12/2023,1777
21104,3/13/2023,2011
21104,3/14/2023,1919
21104,3/15/2023,2079
21104,3/16/2023,1919
21104,3/17/2023,1935
21104,3/18/2023,1896
21104,3/19/2023,2073
21104,3/20/2023,1243
21111,2/28/2023,2498
21111,3/1/2023,2190
21111,3/2/2023,1519
21111,3/3/2023,2115
21111,3/4/2023,1759
21111,3/5/2023,1852
21111,3/6/2023,1947
21111,3/7/2023,2146
21111,3/8/2023,1890
21111,3/9/2023,1902
21111,3/10/2023,2325
21111,3/11/2023,1978
21111,3/12/2023,2076
21111,3/13/2023,2038
21111,3/14/2023,2044
21111,3/15/2023,2268
21111,3/16/2023,2025
21111,3/17/2023,2289
21111,3/18/2023,1607
21111,3/19/2023,1854
21111,3/20/2023,1790
21111,3/21/2023,2039
21111,3/22/2023,1246
21112,2/28/2023,2903
21112,3/1/2023,3076
21112,3/2/2023,1969
21112,3/3/2023,2646
21112,3/4/2023,2262
21112,3/5/2023,2163
21112,3/6/2023,3044
21112,3/7/2023,2622
21112,3/8/2023,2296
21112,3/9/2023,2921
21112,3/10/2023,2816
21112,3/11/2023,2554
21112,3/12/2023,2321
21112,3/13/2023,2486
21112,3/14/2023,2558
21112,3/15/2023,2548
21112,3/16/2023,2819
21112,3/17/2023,2298
21112,3/18/2023,2469
21112,3/19/2023,2138
21112,3/20/2023,2425
21112,3/21/2023,2683
21112,3/22/2023,1387
21113,2/28/2023,3301
21113,3/1/2023,2972
21113,3/2/2023,3425
21113,3/3/2023,2505
21113,3/4/2023,2826
21113,3/5/2023,3166
21113,3/6/2023,2761
21113,3/7/2023,3230
21113,3/8/2023,2732
21113,3/9/2023,3170
21113,3/10/2023,2474
21113,3/11/2023,3858
21113,3/12/2023,3505
21113,3/13/2023,2650
21113,3/14/2023,2839
21113,3/15/2023,2790
21113,3/16/2023,2981
21113,3/17/2023,2775
21113,3/18/2023,3009
21113,3/19/2023,3239
21113,3/20/2023,3020
21113,3/21/2023,3548
21113,3/22/2023,1692
21114,2/28/2023,2246
21114,3/1/2023,2165
21114,3/2/2023,2195
21114,3/3/2023,2315
21114,3/4/2023,2426
21114,3/5/2023,2531
21114,3/6/2023,2947
21114,3/7/2023,2636
21114,3/8/2023,2385
21114,3/9/2023,2788
21114,3/10/2023,2619
21114,3/11/2023,2600
21114,3/12/2023,2149
21114,3/13/2023,2041
21114,3/14/2023,2829
21114,3/15/2023,2805
21114,3/16/2023,2093
21114,3/17/2023,2859
21114,3/18/2023,3370
21114,3/19/2023,2335
21114,3/20/2023,2474
21114,3/21/2023,2646
21114,3/22/2023,1503
21115,2/28/2023,1941
21115,3/1/2023,1846
21115,3/2/2023,1663
21115,3/3/2023,1890
21115,3/4/2023,1817
21115,3/5/2023,1816
21115,3/6/2023,2163
21115,3/7/2023,2409
21115,3/8/2023,2111
21115,3/9/2023,1708
21115,3/10/2023,1542
21115,3/11/2023,1508
21115,3/12/2023,1505
21115,3/13/2023,1476
21115,3/14/2023,1203
21115,3/15/2023,1591
21115,3/16/2023,1710
21115,3/17/2023,1578
21115,3/18/2023,1694
21115,3/19/2023,1814
21115,3/20/2023,2117
21115,3/21/2023,2131
21115,3/22/2023,994
21116,2/28/2023,2301
21116,3/1/2023,2207
21116,3/2/2023,2223
21116,3/3/2023,2422
21116,3/4/2023,1682
21116,3/5/2023,1500
21116,3/6/2023,2000
21116,3/7/2023,2030
21116,3/8/2023,1266
21116,3/9/2023,2100
21116,3/10/2023,2389
21116,3/11/2023,1385
21116,3/12/2023,1372
21116,3/13/2023,2390
21116,3/14/2023,2011
21116,3/15/2023,1686
21116,3/16/2023,2055
21116,3/17/2023,2043
21116,3/18/2023,1254
21116,3/19/2023,1248
21116,3/20/2023,1522
21117,2/28/2023,2215
21117,3/1/2023,1947
21117,3/2/2023,2241
21117,3/3/2023,2847
21117,3/4/2023,1477
21117,3/5/2023,2637
21117,3/6/2023,2360
21117,3/7/2023,1475
21117,3/8/2023,1865
21117,3/9/2023,2157
21117,3/10/2023,2391
21117,3/11/2023,1855
21117,3/12/2023,1767
21117,3/13/2023,1866
21117,3/14/2023,2504
21117,3/15/2023,2303
21117,3/16/2023,2474
21117,3/17/2023,2427
21117,3/18/2023,574
21118,2/28/2023,1474
21118,3/1/2023,1474
21118,3/2/2023,1761
21118,3/3/2023,2716
21118,3/4/2023,2725
21118,3/5/2023,2268
21118,3/6/2023,2336
21118,3/7/2023,1474
21118,3/8/2023,1474
21118,3/9/2023,1474
21118,3/10/2023,2077
21118,3/11/2023,2337
21118,3/12/2023,1689
21118,3/13/2023,1541
21118,3/14/2023,2443
21118,3/15/2023,2659
21118,3/16/2023,2958
21118,3/17/2023,2760
21118,3/18/2023,2300
21118,3/19/2023,1997
21118,3/20/2023,2856
21118,3/21/2023,2841
21118,3/22/2023,1436
21119,2/28/2023,2748
21119,3/1/2023,2376
21119,3/2/2023,2970
21119,3/3/2023,2949
21119,3/4/2023,2382
21119,3/5/2023,2318
21119,3/6/2023,2608
21119,3/7/2023,2728
21119,3/8/2023,2573
21119,3/9/2023,2626
