Id,Date,TotalActiveZoneMinutes,FatBurnActiveZoneMinutes,CardioActiveZoneMinutes,PeakActiveZoneMinutes
21101,02/28/2023,9,9,0,0
21101,03/01/2023,22,22,0,0
21101,03/02/2023,23,23,0,0
21101,03/03/2023,70,56,14,0
21101,03/04/2023,112,110,2,0
21101,03/05/2023,103,93,10,0
21101,03/06/2023,1,1,0,0
21101,03/07/2023,14,14,0,0
21101,03/08/2023,41,41,0,0
21101,03/09/2023,170,142,28,0
21101,03/10/2023,138,94,44,0
21101,03/11/2023,47,47,0,0
21101,03/12/2023,142,122,20,0
21101,03/13/2023,10,10,0,0
21101,03/14/2023,73,67,6,0
21101,03/15/2023,31,31,0,0
21101,03/16/2023,110,110,0,0
21101,03/17/2023,31,31,0,0
21101,03/18/2023,54,28,26,0
21101,03/19/2023,6,6,0,0
21101,03/20/2023,31,31,0,0
21101,03/21/2023,50,50,0,0
21101,03/22/2023,17,17,0,0
21102,03/01/2023,7,7,0,0
21102,03/02/2023,32,32,0,0
21102,03/03/2023,24,24,0,0
21102,03/07/2023,5,5,0,0
21102,03/08/2023,34,30,4,0
21102,03/10/2023,2,0,2,0
21103,02/28/2023,22,22,0,0
21103,03/01/2023,13,13,0,0
21103,03/02/2023,41,29,12,0
21103,03/03/2023,3,3,0,0
21103,03/04/2023,86,36,50,0
21103,03/05/2023,5,5,0,0
21103,03/06/2023,28,28,0,0
21103,03/07/2023,3,1,2,0
21103,03/08/2023,7,7,0,0
21103,03/09/2023,36,34,2,0
21103,03/10/2023,4,4,0,0
21103,03/11/2023,296,280,16,0
21103,03/12/2023,11,11,0,0
21103,03/13/2023,60,54,6,0
21103,03/14/2023,1,1,0,0
21103,03/15/2023,7,7,0,0
21103,03/16/2023,6,6,0,0
21103,03/17/2023,1,1,0,0
21103,03/18/2023,15,15,0,0
21103,03/20/2023,16,16,0,0
21103,03/21/2023,3,3,0,0
21103,03/22/2023,1,1,0,0
21104,03/01/2023,14,14,0,0
21104,03/02/2023,4,4,0,0
21104,03/03/2023,5,5,0,0
21104,03/04/2023,15,15,0,0
21104,03/05/2023,29,29,0,0
21104,03/06/2023,27,27,0,0
21104,03/07/2023,10,10,0,0
21104,03/08/2023,8,8,0,0
21104,03/09/2023,3,3,0,0
21104,03/10/2023,1,1,0,0
21104,03/11/2023,13,13,0,0
21104,03/13/2023,4,4,0,0
21104,03/14/2023,5,5,0,0
21104,03/15/2023,14,14,0,0
21104,03/16/2023,2,2,0,0
21104,03/18/2023,3,3,0,0
21104,03/19/2023,6,6,0,0
21111,02/28/2023,18,18,0,0
21111,03/01/2023,3,3,0,0
21111,03/03/2023,1,1,0,0
21111,03/05/2023,8,8,0,0
21111,03/07/2023,2,2,0,0
21111,03/09/2023,7,7,0,0
21111,03/10/2023,2,2,0,0
21111,03/11/2023,34,34,0,0
21111,03/13/2023,8,2,6,0
21111,03/16/2023,1,1,0,0
21111,03/17/2023,13,11,2,0
21111,03/19/2023,1,1,0,0
21111,03/20/2023,1,1,0,0
21111,03/21/2023,2,2,0,0
21112,02/28/2023,26,26,0,0
21112,03/01/2023,70,38,32,0
21112,03/03/2023,9,9,0,0
21112,03/04/2023,3,3,0,0
21112,03/06/2023,16,16,0,0
21112,03/07/2023,14,12,2,0
21112,03/08/2023,4,4,0,0
21112,03/09/2023,61,19,42,0
21112,03/10/2023,41,31,10,0
21112,03/11/2023,42,42,0,0
21112,03/12/2023,44,32,12,0
21112,03/13/2023,5,5,0,0
21112,03/14/2023,6,6,0,0
21112,03/15/2023,6,6,0,0
21112,03/16/2023,75,61,12,2
21112,03/17/2023,2,0,2,0
21112,03/19/2023,11,11,0,0
21112,03/20/2023,7,7,0,0
21112,03/21/2023,16,8,8,0
21112,03/22/2023,1,1,0,0
21113,02/28/2023,7,7,0,0
21113,03/01/2023,7,5,2,0
21113,03/02/2023,8,8,0,0
21113,03/03/2023,29,27,2,0
21113,03/04/2023,5,5,0,0
21113,03/05/2023,90,90,0,0
21113,03/06/2023,6,6,0,0
21113,03/07/2023,45,25,20,0
21113,03/08/2023,27,17,10,0
21113,03/09/2023,26,26,0,0
21113,03/10/2023,22,20,2,0
21113,03/11/2023,155,107,48,0
21113,03/12/2023,52,52,0,0
