Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
21101,2/28/2023,784,168,0,0,0,2.42000007629395,0,0
21101,3/1/2023,749,299,8,1,0,3.25999999046326,0.129999995231628,0.019999999552965
21101,3/2/2023,684,253,14,12,0,3.84999990463257,0.519999980926514,0.990000009536743
21101,3/3/2023,656,350,24,11,0.109999999403954,5.65999984741211,0.400000005960464,0.360000014305115
21101,3/4/2023,787,225,93,48,0,3.49000000953674,2.73000001907349,2.22000002861023
21101,3/5/2023,632,261,55,28,0.150000005960464,2.88000011444092,1.0900000333786,1.12000000476837
21101,3/6/2023,757,299,0,0,0.019999999552965,3.73000001907349,0,0
21101,3/7/2023,704,246,0,0,0,3.57999992370605,0,0
21101,3/8/2023,909,387,9,0,0,4.51999998092651,0.189999997615814,0
21101,3/9/2023,675,450,74,53,0.860000014305115,8.47000026702881,1.5900000333786,2.97000002861023
21101,3/10/2023,467,336,35,87,0,7.98999977111816,0.769999980926514,5.61999988555908
21101,3/11/2023,1119,194,19,43,0,4.51999998092651,0.97000002861023,3.0699999332428
21101,3/12/2023,1053,235,68,84,0,4.25,2.41000008583069,5.69000005722046
21101,3/13/2023,721,310,0,0,0,5.07000017166138,0,0
21101,3/14/2023,990,392,22,36,0,5.19999980926514,0.340000003576279,1.35000002384186
21101,3/15/2023,589,408,0,0,0,4.76000022888184,0,0
21101,3/16/2023,625,452,49,4,0,6.01999998092651,0.870000004768372,0.159999996423721
21101,3/17/2023,687,308,26,3,0,4.34999990463257,0.540000021457672,0.170000001788139
21101,3/18/2023,532,311,15,29,0,4.73999977111816,0.370000004768372,1.62000000476837
21101,3/19/2023,878,262,0,0,0,3.5699999332428,0,0
21101,3/20/2023,563,321,0,0,0,4.01999998092651,0,0
21101,3/21/2023,453,381,12,4,0,4.59999990463257,0.059999998658895,0
21101,3/22/2023,169,157,0,0,0,1.76999998092651,0,0
21102,2/28/2023,1341,99,0,0,0,1.70000004768372,0,0
21102,3/1/2023,1081,337,21,1,0,5.6100001335144,0.519999980926514,0.059999998658895
21102,3/2/2023,971,398,65,6,0,6.42999982833862,1.53999996185303,0.150000005960464
21102,3/3/2023,787,404,59,9,0,6.8899998664856,1.71000003814697,0.389999985694885
21102,3/4/2023,1440,0,0,0,0,0,0,0
21102,3/5/2023,1438,2,0,0,0,0.009999999776483,0,0
21102,3/6/2023,1440,0,0,0,0,0,0,0
21102,3/7/2023,960,372,7,0,0,6.26000022888184,0.310000002384186,0
21102,3/8/2023,1023,368,11,4,0,3.99000000953674,0.270000010728836,0.119999997317791
21102,3/9/2023,1440,0,0,0,0,0,0,0
21102,3/10/2023,1437,3,0,0,0,0,0,0
21102,3/11/2023,512,0,0,0,0,0,0,0
21103,2/28/2023,1291,149,0,0,0,1.0900000333786,0,0
21103,3/1/2023,657,179,0,0,0,2.4300000667572,0,0
21103,3/2/2023,661,217,6,9,0,3.21000003814697,0,0
21103,3/3/2023,633,295,0,0,0,4.28999996185303,0,0
21103,3/4/2023,490,192,24,51,0,3.0699999332428,1.08000004291534,1.12000000476837
21103,3/5/2023,727,243,0,0,0,3.91000008583069,0,0
21103,3/6/2023,530,330,0,0,0,5.11999988555908,0,0
21103,3/7/2023,777,267,0,0,0,4.30999994277954,0,0
21103,3/8/2023,215,511,0,0,0,8.92000007629395,0,0
21103,3/9/2023,712,291,16,0,0,4.36999988555908,0.150000005960464,0
21103,3/10/2023,626,346,6,0,0,5.40000009536743,0.200000002980232,0
21103,3/11/2023,383,284,155,58,0,2.23000001907349,2.38000011444092,1.86000001430511
21103,3/12/2023,522,183,9,0,0,3.1800000667572,0.140000000596046,0
21103,3/13/2023,572,358,13,6,0,4.75,0.180000007152557,0.400000005960464
21103,3/14/2023,624,290,0,0,0,5.5,0,0
21103,3/15/2023,1166,274,0,0,0,4.48000001907349,0,0
21103,3/16/2023,655,298,5,3,0,4.84000015258789,0.230000004172325,0.209999993443489
21103,3/17/2023,690,250,0,0,0,4.19000005722046,0,0
21103,3/18/2023,686,232,14,0,0,3.46000003814697,0.189999997615814,0
21103,3/19/2023,859,3,0,0,0,0.019999999552965,0,0
21103,3/20/2023,622,369,0,0,0,6.44000005722046,0,0
21103,3/21/2023,1103,337,0,0,0,6.03000020980835,0,0
21103,3/22/2023,252,113,0,0,0,1.91999995708466,0,0
21104,2/28/2023,1440,0,0,0,0,0,0,0
21104,3/1/2023,1209,231,0,0,0,3.71000003814697,0,0
21104,3/2/2023,646,267,0,0,0,3.67000007629395,0,0
21104,3/3/2023,577,265,0,0,0,4.05000019073486,0,0
21104,3/4/2023,591,203,0,0,0,3.0699999332428,0,0
21104,3/5/2023,741,293,8,10,0,4.11999988555908,0.449999988079071,0.699999988079071
21104,3/6/2023,516,310,13,0,0,4.05000019073486,0.189999997615814,0
21104,3/7/2023,910,250,0,0,0,3.71000003814697,0,0
21104,3/8/2023,721,286,0,0,0,4.23000001907349,0,0
21104,3/9/2023,856,218,0,0,0,3.13000011444092,0,0
21104,3/10/2023,1366,74,0,0,0,1.38999998569489,0,0
21104,3/11/2023,494,253,13,0,0,4.69999980926514,0.379999995231628,0
21104,3/12/2023,619,186,0,0,0,2.63000011444092,0,0
21104,3/13/2023,756,281,0,0,0,4.51000022888184,0,0
21104,3/14/2023,632,268,0,0,0,3.72000002861023,0,0
21104,3/15/2023,773,299,0,0,0,4.07000017166138,0,0
21104,3/16/2023,750,230,0,0,0,3.69000005722046,0,0
21104,3/17/2023,691,276,0,0,0,3.95000004768372,0,0
21104,3/18/2023,712,266,0,0,0,3.38000011444092,0,0
21104,3/19/2023,615,234,34,2,0,3.9300000667572,1.62999999523163,0.140000000596046
21104,3/20/2023,319,190,0,0,0,2.77999997138977,0,0
21111,2/28/2023,254,424,9,57,0,6.75,0.629999995231628,4.28000020980835
21111,3/1/2023,459,405,0,0,0,6.94000005722046,0,0
21111,3/2/2023,787,92,0,0,0,1.16999995708466,0,0
21111,3/3/2023,176,352,0,0,0,5.40000009536743,0,0
21111,3/4/2023,515,211,0,0,0,3,0,0
21111,3/5/2023,663,230,0,0,0,3.1800000667572,0,0
21111,3/6/2023,643,310,0,0,0,4.17000007629395,0,0
21111,3/7/2023,587,410,0,0,0,6.09999990463257,0,0
21111,3/8/2023,632,281,0,0,0,3.80999994277954,0,0
21111,3/9/2023,655,271,0,0,0,4,0,0
21111,3/10/2023,474,489,0,0,0,7.86999988555908,0,0
21111,3/11/2023,618,221,32,7,0,3.49000000953674,0.709999978542328,0.46000000834465
21111,3/12/2023,304,370,0,0,0,5.78000020980835,0,0
21111,3/13/2023,527,347,0,0,0,5.94999980926514,0,0
21111,3/14/2023,585,350,0,0,0,5.23999977111816,0,0
21111,3/15/2023,428,444,0,0,0,7.46000003814697,0,0
21111,3/16/2023,472,347,0,0,0,4.5,0,0
21111,3/17/2023,442,372,19,8,0,7.05999994277954,0.910000026226044,0.550000011920929
21111,3/18/2023,766,133,0,0,0,1.82000005245209,0,0
21111,3/19/2023,493,243,0,0,0,3.69000005722046,0,0
21111,3/20/2023,788,216,0,0,0,3.84999990463257,0,0
21111,3/21/2023,365,355,0,0,0,5.05000019073486,0,0
21111,3/22/2023,0,231,0,0,0,3.58999991416931,0,0
21112,2/28/2023,430,458,60,15,0,8.42000007629395,1.99000000953674,0.949999988079071
21112,3/1/2023,379,393,112,29,0,7.51999998092651,3.27999997138977,2.25999999046326
21112,3/2/2023,640,244,0,0,0,3.59999990463257,0,0
21112,3/3/2023,409,401,26,2,0,7.26999998092651,0.709999978542328,0.050000000745058
21112,3/4/2023,696,309,6,6,0,5.28999996185303,0.310000002384186,0.360000014305115
21112,3/5/2023,710,309,0,0,0,4.73999977111816,0,0
21112,3/6/2023,355,576,41,2,0,12.9200000762939,1.51999998092651,0.140000000596046
21112,3/7/2023,483,428,40,4,0,8.01000022888184,1.28999996185303,0.25
21112,3/8/2023,617,361,0,0,0,6.82999992370605,0,0
21112,3/9/2023,427,485,10,30,0,9.81999969482422,0.319999992847443,2.36999988555908
21112,3/10/2023,550,411,75,11,0,7.5,2.21000003814697,0.8299999833107
21112,3/11/2023,683,251,44,51,0,4.51000022888184,0.800000011920929,1.57000005245209
21112,3/12/2023,658,277,12,21,0,3.52999997138977,0.129999995231628,0.769999980926514
21112,3/13/2023,568,447,0,0,0,8.59000015258789,0,0
21112,3/14/2023,551,421,8,27,0,6.67999982833862,0.430000007152557,2.04999995231628
21112,3/15/2023,542,389,5,37,0.810000002384186,6.8899998664856,0.059999998658895,0.769999980926514
21112,3/16/2023,459,389,80,19,0,5.80999994277954,1.58000004291534,1.23000001907349
21112,3/17/2023,719,349,7,2,0.509999990463257,5.53999996185303,0.330000013113022,0.140000000596046
21112,3/18/2023,475,423,0,0,0,6.78000020980835,0,0
21112,3/19/2023,681,241,26,4,0,3.29999995231628,0.8299999833107,0.150000005960464
21112,3/20/2023,536,393,10,7,0,6.1399998664856,0.400000005960464,0.449999988079071
21112,3/21/2023,466,441,21,6,0,6.71000003814697,0.6700000166893,0.029999999329448
21112,3/22/2023,222,229,0,0,0,3.5699999332428,0,0
21113,2/28/2023,476,459,14,1,0,7.92000007629395,0.409999996423721,0.059999998658895
21113,3/1/2023,581,370,2,8,0,6.30000019073486,0.079999998211861,0.649999976158142
21113,3/2/2023,487,387,22,0,0,7.75,0.550000011920929,0
21113,3/3/2023,868,199,0,0,0,2.15000009536743,0,0
21113,3/4/2023,553,319,5,0,0,4.84999990463257,0.070000000298023,0
21113,3/5/2023,756,249,75,37,0,3.30999994277954,1.45000004768372,1.4099999666214
21113,3/6/2023,607,344,0,0,0,5.5,0,0
21113,3/7/2023,580,353,5,11,0,4.65999984741211,0.029999999329448,0.03999999910593
21113,3/8/2023,746,255,9,11,0,4.38000011444092,0.360000014305115,0.569999992847443
21113,3/9/2023,627,339,36,0,0,4.78000020980835,0.560000002384186,0
21113,3/10/2023,528,169,0,0,0,2.8199999332428,0,0
21113,3/11/2023,686,252,62,95,0,2.28999996185303,1.70000004768372,3.91000008583069
21113,3/12/2023,609,280,85,36,0,5.1399998664856,3.39000010490417,1.9099999666214
21113,3/13/2023,721,302,0,0,0,3.95000004768372,0,0
21113,3/14/2023,680,317,8,0,0,4.78999996185303,0.090000003576279,0
21113,3/15/2023,648,318,4,5,0,4.3600001335144,0.070000000298023,0.140000000596046
21113,3/16/2023,717,316,17,9,0,4.17000007629395,0.209999993443489,0.009999999776483
21113,3/17/2023,644,311,0,0,0,5.90000009536743,0,0
21113,3/18/2023,714,218,53,16,0,1.82000005245209,0.569999992847443,0.280000001192093
21113,3/19/2023,712,310,50,15,0,2.50999999046326,0.550000011920929,0.129999995231628
21113,3/20/2023,474,405,0,0,0,6.01000022888184,0,0
21113,3/21/2023,486,329,30,81,0,4.51000022888184,0.230000004172325,0.790000021457672
21113,3/22/2023,201,188,10,0,0.009999999776483,2.8199999332428,0.029999999329448,0
21114,2/28/2023,718,313,0,0,0,5.51999998092651,0,0
21114,3/1/2023,747,284,0,0,0,4.98000001907349,0,0
21114,3/2/2023,599,300,0,0,0,5.38000011444092,0,0
21114,3/3/2023,650,366,0,0,0,7.25,0,0
21114,3/4/2023,514,387,7,0,0,7.53999996185303,0.270000010728836,0
21114,3/5/2023,561,371,19,0,0,8.35000038146973,0.409999996423721,0
21114,3/6/2023,374,469,26,14,0,8.94999980926514,1.0900000333786,1.05999994277954
21114,3/7/2023,448,487,5,2,0,9.88000011444092,0.180000007152557,0.129999995231628
21114,3/8/2023,601,370,7,5,0,6.42999982833862,0.340000003576279,0.379999995231628
21114,3/9/2023,580,469,24,10,0,9.1899995803833,0.77999997138977,0.490000009536743
21114,3/10/2023,957,474,9,0,0,9.9399995803833,0.349999994039536,0
21114,3/11/2023,536,471,0,0,0,9.5600004196167,0,0
21114,3/12/2023,1138,292,8,2,0,5.55999994277954,0.469999998807907,0.129999995231628
21114,3/13/2023,1172,264,0,0,0,4.11999988555908,0,0
21114,3/14/2023,439,475,19,4,0,7.94000005722046,0.600000023841858,0.270000010728836
21114,3/15/2023,371,512,11,16,0,10.1599998474121,0.560000002384186,0.870000004768372
21114,3/16/2023,1198,213,24,5,0,4.28999996185303,1.1599999666214,0.319999992847443
21114,3/17/2023,918,479,11,32,0,9.96000003814697,0.490000009536743,2.92000007629395
21114,3/18/2023,343,458,148,38,0,7.71999979019165,4.84999990463257,1.73000001907349
21114,3/19/2023,581,323,8,0,0,6.51000022888184,0.469999998807907,0
21114,3/20/2023,881,453,0,0,0,8.10000038146973,0,0
21114,3/21/2023,500,488,6,5,0,8.81999969482422,0.189999997615814,0.379999995231628
21114,3/22/2023,478,218,12,13,0,3.99000000953674,0.25,0.649999976158142
21115,2/28/2023,584,391,8,2,0,6.98999977111816,0.449999988079071,0.150000005960464
21115,3/1/2023,861,376,0,0,0,6.03000020980835,0,0
21115,3/2/2023,669,263,0,0,0,4.40999984741211,0,0
21115,3/3/2023,571,365,0,0,0,6.71999979019165,0,0
21115,3/4/2023,560,346,0,0,0,5.40000009536743,0,0
21115,3/5/2023,728,339,0,0,0,5.6399998664856,0,0
21115,3/6/2023,464,505,0,0,0,7.84000015258789,0,0
21115,3/7/2023,336,585,15,11,0,9.81999969482422,0.490000009536743,0.389999985694885
21115,3/8/2023,571,424,7,5,0,7.11999988555908,0.259999990463257,0.310000002384186
21115,3/9/2023,491,266,0,0,0,4.28999996185303,0,0
21115,3/10/2023,842,192,0,0,0,2.24000000953674,0,0
21115,3/11/2023,763,164,0,0,0,2.05999994277954,0,0
21115,3/12/2023,929,168,0,0,0,2.00999999046326,0,0
21115,3/13/2023,802,151,0,0,0,1.6599999666214,0,0
21115,3/14/2023,1440,0,0,0,0,0,0,0
21115,3/15/2023,1255,185,0,0,0,2.74000000953674,0,0
21115,3/16/2023,1180,260,0,0,0,4.96999979019165,0,0
21115,3/17/2023,598,208,0,0,0,2.70000004768372,0,0
21115,3/18/2023,610,268,0,0,0,3.99000000953674,0,0
21115,3/19/2023,678,292,0,0,0,4.19000005722046,0,0
21115,3/20/2023,514,483,0,0,0,8.05000019073486,0,0
21115,3/21/2023,965,475,0,0,0,8.27999973297119,0,0
21115,3/22/2023,122,167,0,0,0,2.71000003814697,0,0
21116,2/28/2023,454,470,4,10,0,8.42000007629395,0.259999990463257,0.9200000166893
21116,3/1/2023,533,424,13,7,0,6.76000022888184,0.430000007152557,0.340000003576279
21116,3/2/2023,508,499,0,0,0,8.42000007629395,0,0
21116,3/3/2023,872,561,7,0,0,9.93000030517578,0.150000005960464,0
21116,3/4/2023,658,178,13,1,0,2.98000001907349,0.800000011920929,0.070000000298023
21116,3/5/2023,1160,142,0,0,0,1.89999997615814,0,0
21116,3/6/2023,692,383,0,0,0,5.84000015258789,0,0
21116,3/7/2023,1045,395,0,0,0,6,0,0
21116,3/8/2023,1055,10,0,0,0,0.079999998211861,0,0
21116,3/9/2023,569,391,5,7,0,6.73000001907349,0.070000000298023,0.159999996423721
21116,3/10/2023,938,486,12,4,0,8.69999980926514,0.310000002384186,0.189999997615814
21116,3/11/2023,924,50,0,0,0,1.39999997615814,0,0
21116,3/12/2023,690,54,0,0,0,0.550000011920929,0,0
21116,3/13/2023,471,466,34,10,0,7.53999996185303,1.87999999523163,0.699999988079071
21116,3/14/2023,753,376,4,4,0,5.5,0.090000003576279,0.180000007152557
21116,3/15/2023,761,217,0,0,0,2.83999991416931,0,0
21116,3/16/2023,935,336,12,15,0,4.73000001907349,0.379999995231628,0.949999988079071
21116,3/17/2023,617,369,8,0,0,5.84999990463257,0.259999990463257,0
21116,3/18/2023,1320,2,0,0,0,0.019999999552965,0,0
21116,3/19/2023,1440,0,0,0,0,0,0,0
21116,3/20/2023,609,312,14,1,0,4.57000017166138,0.349999994039536,0.070000000298023
21117,2/28/2023,1440,0,0,0,0,0,0,0
21117,3/1/2023,1262,178,0,0,0,3.25999999046326,0,0
21117,3/2/2023,1205,191,34,10,0,4.01999998092651,0.769999980926514,0.270000010728836
21117,3/3/2023,1015,355,61,9,0,6.92000007629395,2.28999996185303,0.560000002384186
21117,3/4/2023,1439,1,0,0,0,0.019999999552965,0,0
21117,3/5/2023,1081,328,21,10,0,6.15000009536743,0.660000026226044,0.159999996423721
21117,3/6/2023,1131,294,4,11,0,5.76000022888184,0.109999999403954,0.170000001788139
21117,3/7/2023,1440,0,0,0,0,0,0,0
21117,3/8/2023,929,55,18,10,0,0.389999985694885,0.100000001490116,0.200000002980232
21117,3/9/2023,1125,216,17,6,0,3.89000010490417,0.219999998807907,0.200000002980232
21117,3/10/2023,1098,314,18,10,0,6.61999988555908,1.00999999046326,0.660000026226044
21117,3/11/2023,976,132,0,0,0,2,0,0
21117,3/12/2023,1342,98,0,0,0,2.19000005722046,0,0
21117,3/13/2023,1353,87,0,0,0,1.85000002384186,0,0
21117,3/14/2023,1019,409,7,5,0,7.78000020980835,0.129999995231628,0.100000001490116
21117,3/15/2023,1129,288,9,14,0,5.98999977111816,0.150000005960464,0.649999976158142
21117,3/16/2023,1062,368,3,7,0,7.03999996185303,0.100000001490116,0.439999997615814
21117,3/17/2023,1086,336,9,9,0,6.07999992370605,0.259999990463257,0.319999992847443
21117,3/18/2023,561,0,0,0,0,0,0,0
21118,2/28/2023,1440,0,0,0,0,0,0,0
21118,3/1/2023,1440,0,0,0,0,0,0,0
21118,3/2/2023,1402,29,3,6,0,0,0,0
21118,3/3/2023,1050,368,19,3,0,5.65999984741211,0.509999990463257,0.109999999403954
21118,3/4/2023,863,274,35,28,0.140000000596046,3.15000009536743,0.569999992847443,0.990000009536743
21118,3/5/2023,670,255,8,0,0,3.30999994277954,0.259999990463257,0
21118,3/6/2023,1440,0,0,0,0,0,0,0
21118,3/7/2023,1440,0,0,0,0,0,0,0
21118,3/8/2023,1440,0,0,0,0,0,0,0
21118,3/9/2023,1440,0,0,0,0,0,0,0
21118,3/10/2023,1440,0,0,0,0,0,0,0
21118,3/11/2023,1440,0,0,0,0,0,0,0
21118,3/12/2023,1440,0,0,0,0,0,0,0
21118,3/13/2023,1440,0,0,0,0,0,0,0
21118,3/14/2023,1423,8,3,6,0,0,0,0
21118,3/15/2023,1440,0,0,0,0,0,0,0
21118,3/16/2023,1409,12,12,7,0,0,0,0
21118,3/17/2023,1440,0,0,0,0,0,0,0
21118,3/18/2023,1440,0,0,0,0,0,0,0
21118,3/19/2023,1440,0,0,0,0,0,0,0
