Id,ActivityDay,StepTotal
21101,2/28/2023,3565
21101,3/1/2023,5015
21101,3/2/2023,7811
21101,3/3/2023,9620
21101,3/4/2023,12384
21101,3/5/2023,7735
21101,3/6/2023,5519
21101,3/7/2023,5272
21101,3/8/2023,6937
21101,3/9/2023,20724
21101,3/10/2023,21117
21101,3/11/2023,12544
21101,3/12/2023,18061
21101,3/13/2023,7454
21101,3/14/2023,10128
21101,3/15/2023,7003
21101,3/16/2023,10366
21101,3/17/2023,7443
21101,3/18/2023,9902
21101,3/19/2023,5258
21101,3/20/2023,5908
21101,3/21/2023,6859
21101,3/22/2023,2609
21102,2/28/2023,2730
21102,3/1/2023,9875
21102,3/2/2023,12945
21102,3/3/2023,14375
21102,3/4/2023,0
21102,3/5/2023,16
21102,3/6/2023,0
21102,3/7/2023,10485
21102,3/8/2023,6994
21102,3/9/2023,0
21102,3/10/2023,0
21102,3/11/2023,0
21103,2/28/2023,1600
21103,3/1/2023,3568
21103,3/2/2023,4744
21103,3/3/2023,6311
21103,3/4/2023,7749
21103,3/5/2023,5750
21103,3/6/2023,7535
21103,3/7/2023,6341
21103,3/8/2023,13124
21103,3/9/2023,6635
21103,3/10/2023,8230
21103,3/11/2023,9512
21103,3/12/2023,4878
21103,3/13/2023,7847
21103,3/14/2023,8088
21103,3/15/2023,6626
21103,3/16/2023,7763
21103,3/17/2023,6155
21103,3/18/2023,5365
21103,3/19/2023,24
21103,3/20/2023,9472
21103,3/21/2023,8864
21103,3/22/2023,2826
21104,2/28/2023,0
21104,3/1/2023,5622
21104,3/2/2023,5404
21104,3/3/2023,6015
21104,3/4/2023,4516
21104,3/5/2023,7748
21104,3/6/2023,6241
21104,3/7/2023,5457
21104,3/8/2023,6238
21104,3/9/2023,4611
21104,3/10/2023,2046
21104,3/11/2023,7473
21104,3/12/2023,3869
21104,3/13/2023,6631
21104,3/14/2023,5476
21104,3/15/2023,5987
21104,3/16/2023,5430
21104,3/17/2023,5806
21104,3/18/2023,4976
21104,3/19/2023,8382
21104,3/20/2023,4096
21111,2/28/2023,17140
21111,3/1/2023,10220
21111,3/2/2023,1718
21111,3/3/2023,7947
