Id,SleepDay,DailyRMSSD,DeepRMSSD
21103,03/02/2023,33.925,64.444
21103,03/03/2023,52.261,66.438
21103,03/04/2023,43.532,44.402
21103,03/05/2023,30.484,30.579
21103,03/06/2023,57.893,44.649
21103,03/07/2023,32.581,21.853
21103,03/08/2023,68.634,94.183
21103,03/09/2023,66.003,90.456
21103,03/10/2023,38.984,40.852
21103,03/11/2023,46.044,48.168
21103,03/12/2023,17.946,19.422
21103,03/13/2023,58.873,56.398
21103,03/14/2023,34.786,26.344
21103,03/16/2023,37.387,39.572
21103,03/17/2023,48.878,47.934
21103,03/18/2023,58.187,52.859
21103,03/19/2023,53.827,63.146
21103,03/20/2023,59.884,86.788
21103,03/22/2023,57.812,81.077
21111,02/28/2023,22.203,22.044
21111,03/01/2023,23.01,16.875
21111,03/02/2023,22.542,18.421
21111,03/03/2023,24.323,28.58
21111,03/04/2023,19.394,21.315
21111,03/05/2023,22.038,22.975
21111,03/06/2023,19.001,13.2
21111,03/07/2023,24.509,23.527
21111,03/08/2023,26.614,22.283
21111,03/09/2023,24.199,15.501
21111,03/10/2023,18.333,23.158
21111,03/11/2023,18.971,14.832
21111,03/12/2023,19.318,16.49
21111,03/13/2023,23.991,20.78
21111,03/14/2023,22.569,22.531
21111,03/15/2023,27.4,22.99
21111,03/16/2023,22.114,20.798
21111,03/17/2023,22.141,26.849
21111,03/18/2023,22.096,22.463
21111,03/19/2023,21.346,18.216
21111,03/20/2023,27.918,25.497
21111,03/21/2023,21.273,14.538
21111,03/22/2023,24.811,14.958
21116,02/28/2023,57.545,56.26
21116,03/01/2023,48.196,40.963
21116,03/02/2023,44.751,42.503
21116,03/04/2023,65.618,52.254
21116,03/06/2023,72.429,69.071
21116,03/08/2023,88.302,93.937
21116,03/09/2023,139.314,120.006
21116,03/11/2023,92.627,62.658
21116,03/12/2023,113.489,59.276
21116,03/13/2023,107.882,74.893
21116,03/14/2023,122.991,169.121
21116,03/15/2023,71.066,97.78
21116,03/17/2023,82.705,0
21116,03/18/2023,59.105,0
21119,03/09/2023,32.549,32.396
21119,03/10/2023,33.345,21.369
21119,03/11/2023,26.699,26.944
21119,03/12/2023,18.123,17.273
21119,03/13/2023,34.368,32.192
21119,03/14/2023,13.116,16.472
21119,03/15/2023,15.653,13.924
21119,03/17/2023,18.643,18.182
21119,03/18/2023,25.463,23.194
21119,03/19/2023,20.07,18.786
