Id,ActivityDay,ZoneName,Min,Max,Calories,Minutes
21101,2/28/2023,Out of Range,30,108,1892,1430
21101,2/28/2023,Fat Burn,108,131,40,9
21101,2/28/2023,Cardio,131,159,0,0
21101,2/28/2023,Peak,159,220,0,0
21101,3/1/2023,Out of Range,30,109,2153,1417
21101,3/1/2023,Fat Burn,109,132,92,22
21101,3/1/2023,Cardio,132,160,0,0
21101,3/1/2023,Peak,160,220,0,0
21101,3/2/2023,Out of Range,30,109,2120,1416
21101,3/2/2023,Fat Burn,109,131,121,23
21101,3/2/2023,Cardio,131,160,0,0
21101,3/2/2023,Peak,160,220,0,0
21101,3/3/2023,Out of Range,30,109,2248,1376
21101,3/3/2023,Fat Burn,109,132,283,56
21101,3/3/2023,Cardio,132,160,49,7
21101,3/3/2023,Peak,160,220,0,0
21101,3/4/2023,Out of Range,30,110,2085,1328
21101,3/4/2023,Fat Burn,110,132,607,110
21101,3/4/2023,Cardio,132,160,7,1
21101,3/4/2023,Peak,160,220,0,0
21101,3/5/2023,Out of Range,30,109,2013,1341
21101,3/5/2023,Fat Burn,109,132,440,93
21101,3/5/2023,Cardio,132,160,40,5
21101,3/5/2023,Peak,160,220,0,0
21101,3/6/2023,Out of Range,30,110,2114,1438
21101,3/6/2023,Fat Burn,110,132,3,1
21101,3/6/2023,Cardio,132,160,0,0
21101,3/6/2023,Peak,160,220,0,0
21101,3/7/2023,Out of Range,30,109,1807,1226
21101,3/7/2023,Fat Burn,109,132,72,14
21101,3/7/2023,Cardio,132,160,0,0
21101,3/7/2023,Peak,160,220,0,0
21101,3/8/2023,Out of Range,30,109,2318,1398
21101,3/8/2023,Fat Burn,109,132,161,41
21101,3/8/2023,Cardio,132,160,0,0
21101,3/8/2023,Peak,160,220,0,0
21101,3/9/2023,Out of Range,30,111,2538,1283
21101,3/9/2023,Fat Burn,111,133,682,142
21101,3/9/2023,Cardio,133,160,115,14
21101,3/9/2023,Peak,160,220,0,0
21101,3/10/2023,Out of Range,30,112,2358,1323
21101,3/10/2023,Fat Burn,112,133,586,94
21101,3/10/2023,Cardio,133,160,182,22
21101,3/10/2023,Peak,160,220,0,0
21101,3/11/2023,Out of Range,30,112,1990,1392
21101,3/11/2023,Fat Burn,112,134,290,47
21101,3/11/2023,Cardio,134,160,0,0
21101,3/11/2023,Peak,160,220,0,0
21101,3/12/2023,Out of Range,30,112,2117,1307
21101,3/12/2023,Fat Burn,112,134,684,122
21101,3/12/2023,Cardio,134,160,75,10
21101,3/12/2023,Peak,160,220,0,0
21101,3/13/2023,Out of Range,30,111,2177,1429
21101,3/13/2023,Fat Burn,111,133,29,10
21101,3/13/2023,Cardio,133,160,0,0
21101,3/13/2023,Peak,160,220,0,0
21101,3/14/2023,Out of Range,30,111,2331,1369
21101,3/14/2023,Fat Burn,111,133,357,67
21101,3/14/2023,Cardio,133,160,21,3
21101,3/14/2023,Peak,160,220,0,0
21101,3/15/2023,Out of Range,30,110,2401,1408
21101,3/15/2023,Fat Burn,110,132,131,31
21101,3/15/2023,Cardio,132,160,0,0
21101,3/15/2023,Peak,160,220,0,0
21101,3/16/2023,Out of Range,30,111,2375,1329
21101,3/16/2023,Fat Burn,111,133,478,110
21101,3/16/2023,Cardio,133,160,0,0
21101,3/16/2023,Peak,160,220,0,0
21101,3/17/2023,Out of Range,30,112,2108,1408
21101,3/17/2023,Fat Burn,112,134,143,31
21101,3/17/2023,Cardio,134,160,0,0
21101,3/17/2023,Peak,160,220,0,0
21101,3/18/2023,Out of Range,30,112,2142,1398
21101,3/18/2023,Fat Burn,112,133,159,28
21101,3/18/2023,Cardio,133,160,106,13
21101,3/18/2023,Peak,160,220,0,0
21101,3/19/2023,Out of Range,30,112,2019,1433
21101,3/19/2023,Fat Burn,112,133,25,6
21101,3/19/2023,Cardio,133,160,0,0
21101,3/19/2023,Peak,160,220,0,0
21101,3/20/2023,Out of Range,30,112,2119,1408
21101,3/20/2023,Fat Burn,112,133,121,31
21101,3/20/2023,Cardio,133,160,0,0
21101,3/20/2023,Peak,160,220,0,0
21101,3/21/2023,Out of Range,30,111,2253,1389
21101,3/21/2023,Fat Burn,111,133,214,50
21101,3/21/2023,Cardio,133,160,0,0
21101,3/21/2023,Peak,160,220,0,0
21101,3/22/2023,Out of Range,30,112,1123,788
21101,3/22/2023,Fat Burn,112,134,70,17
21101,3/22/2023,Cardio,134,160,0,0
21101,3/22/2023,Peak,160,220,0,0
21102,2/28/2023,Out of Range,30,117,1302,1116
21102,2/28/2023,Fat Burn,117,142,0,0
21102,2/28/2023,Cardio,142,172,0,0
21102,2/28/2023,Peak,172,220,0,0
21102,3/1/2023,Out of Range,30,117,2150,1432
21102,3/1/2023,Fat Burn,117,142,32,7
21102,3/1/2023,Cardio,142,172,0,0
21102,3/1/2023,Peak,172,220,0,0
21102,3/2/2023,Out of Range,30,119,2532,1407
21102,3/2/2023,Fat Burn,119,143,158,32
21102,3/2/2023,Cardio,143,173,0,0
21102,3/2/2023,Peak,173,220,0,0
21102,3/3/2023,Out of Range,30,119,2568,1415
21102,3/3/2023,Fat Burn,119,143,131,24
21102,3/3/2023,Cardio,143,173,0,0
21102,3/3/2023,Peak,173,220,0,0
21102,3/4/2023,Out of Range,30,119,1360,1439
