Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
21101,2/28/2023 12:00:00 AM,1,460,488
21101,3/1/2023 12:00:00 AM,1,353,383
21101,3/2/2023 12:00:00 AM,1,450,477
21101,3/3/2023 12:00:00 AM,1,344,399
21101,3/4/2023 12:00:00 AM,1,263,287
21101,3/5/2023 12:00:00 AM,1,446,464
21101,3/6/2023 12:00:00 AM,1,366,384
21101,3/7/2023 12:00:00 AM,1,467,490
21101,3/9/2023 12:00:00 AM,2,304,323
21101,3/10/2023 12:00:00 AM,1,432,515
21101,3/11/2023 12:00:00 AM,1,55,65
21101,3/13/2023 12:00:00 AM,1,387,409
21101,3/15/2023 12:00:00 AM,1,417,443
21101,3/16/2023 12:00:00 AM,1,295,310
21101,3/17/2023 12:00:00 AM,2,378,416
21101,3/18/2023 12:00:00 AM,2,532,553
21101,3/19/2023 12:00:00 AM,1,267,300
21101,3/20/2023 12:00:00 AM,1,493,556
21101,3/21/2023 12:00:00 AM,1,554,590
21101,3/22/2023 12:00:00 AM,1,438,479
21102,3/3/2023 12:00:00 AM,1,175,181
21102,3/8/2023 12:00:00 AM,1,127,136
21103,3/1/2023 12:00:00 AM,1,544,604
21103,3/2/2023 12:00:00 AM,1,515,547
21103,3/3/2023 12:00:00 AM,1,477,512
21103,3/4/2023 12:00:00 AM,1,649,683
21103,3/5/2023 12:00:00 AM,1,460,470
21103,3/6/2023 12:00:00 AM,1,561,580
21103,3/7/2023 12:00:00 AM,1,371,396
21103,3/8/2023 12:00:00 AM,1,626,714
21103,3/9/2023 12:00:00 AM,1,403,421
21103,3/10/2023 12:00:00 AM,1,450,462
21103,3/11/2023 12:00:00 AM,1,554,560
21103,3/12/2023 12:00:00 AM,1,734,786
21103,3/13/2023 12:00:00 AM,1,475,491
21103,3/14/2023 12:00:00 AM,1,496,526
21103,3/16/2023 12:00:00 AM,1,457,479
21103,3/17/2023 12:00:00 AM,1,474,500
21103,3/18/2023 12:00:00 AM,1,470,508
21103,3/19/2023 12:00:00 AM,1,566,578
21103,3/20/2023 12:00:00 AM,1,428,449
21103,3/22/2023 12:00:00 AM,1,421,436
21104,3/2/2023 12:00:00 AM,3,488,527
21104,3/3/2023 12:00:00 AM,1,571,598
21104,3/4/2023 12:00:00 AM,1,597,646
21104,3/5/2023 12:00:00 AM,1,340,388
21104,3/6/2023 12:00:00 AM,2,574,601
21104,3/7/2023 12:00:00 AM,1,268,280
21104,3/8/2023 12:00:00 AM,1,405,433
21104,3/9/2023 12:00:00 AM,2,355,366
21104,3/11/2023 12:00:00 AM,2,653,680
21104,3/12/2023 12:00:00 AM,2,674,695
21104,3/13/2023 12:00:00 AM,1,357,403
21104,3/14/2023 12:00:00 AM,2,523,540
21104,3/15/2023 12:00:00 AM,1,336,368
21104,3/16/2023 12:00:00 AM,2,437,460
21104,3/17/2023 12:00:00 AM,1,414,473
21104,3/18/2023 12:00:00 AM,1,443,462
21104,3/19/2023 12:00:00 AM,1,531,555
21104,3/20/2023 12:00:00 AM,1,349,365
21111,2/28/2023 12:00:00 AM,1,561,584
21111,3/1/2023 12:00:00 AM,1,545,576
21111,3/2/2023 12:00:00 AM,1,540,561
21111,3/3/2023 12:00:00 AM,1,870,912
21111,3/4/2023 12:00:00 AM,1,683,714
21111,3/5/2023 12:00:00 AM,1,515,547
21111,3/6/2023 12:00:00 AM,1,410,442
21111,3/7/2023 12:00:00 AM,1,412,443
21111,3/8/2023 12:00:00 AM,2,469,527
21111,3/9/2023 12:00:00 AM,1,487,514
21111,3/10/2023 12:00:00 AM,1,455,477
21111,3/11/2023 12:00:00 AM,1,512,562
21111,3/12/2023 12:00:00 AM,1,778,826
