Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalTimeAwake,TotalMinutesLight,TotalMinutesDeep,TotalMinutesREM
21101,2/28/2023 12:00:00 AM,1,436,488,52,231,107,98
21101,3/1/2023 12:00:00 AM,1,320,383,63,214,51,55
21101,3/2/2023 12:00:00 AM,1,421,477,56,284,59,78
21101,3/3/2023 12:00:00 AM,1,321,399,78,228,44,49
21101,3/4/2023 12:00:00 AM,1,235,287,52,136,61,38
21101,3/5/2023 12:00:00 AM,1,408,464,56,255,87,66
21101,3/6/2023 12:00:00 AM,1,349,384,35,231,65,53
21101,3/7/2023 12:00:00 AM,1,422,490,68,218,105,99
21101,3/8/2023 12:00:00 AM,0,0,0,0,0,0,0
21101,3/9/2023 12:00:00 AM,2,304,323,0,0,0,0
21101,3/10/2023 12:00:00 AM,1,421,515,94,353,63,5
21101,3/11/2023 12:00:00 AM,1,55,65,0,0,0,0
21101,3/12/2023 12:00:00 AM,0,0,0,0,0,0,0
21101,3/13/2023 12:00:00 AM,1,368,409,41,194,111,63
21101,3/14/2023 12:00:00 AM,0,0,0,0,0,0,0
21101,3/15/2023 12:00:00 AM,1,399,443,44,231,92,76
21101,3/16/2023 12:00:00 AM,1,253,310,57,163,51,39
21101,3/17/2023 12:00:00 AM,2,355,416,54,228,36,32
21101,3/18/2023 12:00:00 AM,2,495,553,55,273,38,71
21101,3/19/2023 12:00:00 AM,1,263,300,37,197,40,26
21101,3/20/2023 12:00:00 AM,1,434,556,122,282,56,96
21101,3/21/2023 12:00:00 AM,1,513,590,77,378,43,92
21101,3/22/2023 12:00:00 AM,1,424,479,55,306,58,60
21102,2/28/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/1/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/2/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/3/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/4/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/5/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/6/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/7/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/8/2023 12:00:00 AM,1,127,136,0,0,0,0
21102,3/9/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/10/2023 12:00:00 AM,0,0,0,0,0,0,0
21102,3/11/2023 12:00:00 AM,0,0,0,0,0,0,0
21103,2/28/2023 12:00:00 AM,0,0,0,0,0,0,0
21103,3/1/2023 12:00:00 AM,1,524,604,80,292,115,117
21103,3/2/2023 12:00:00 AM,1,477,547,70,309,39,129
21103,3/3/2023 12:00:00 AM,1,443,512,69,303,52,88
21103,3/4/2023 12:00:00 AM,1,603,683,80,377,90,136
